ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2020,"2020",27462,5706,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2020,"2020",31123,358,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2020,"2020",39168,1360,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2020,"2020",40638,1416,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2020,"2020",28440,991,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2020,"2020",35919,1101,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",7,"Information",2020,"2020",74589,2253,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",67281,2757,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",51348,787,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",46636,1299,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",27364,378,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",13,"Other Services Except Public Administration",2020,"2020",30121,872,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",14,"Public Administration",2020,"2020",71414,2428,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2020,"2020",20688,1772,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2020,"2020",41608,1436,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2020,"2020",29101,998,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2020,"2020",35681,2464,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2020,"2020",22768,631,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2020,"2020",32349,1159,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2020,"2020",65403,1816,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",50306,1432,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",43041,1077,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",36116,627,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",22004,423,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",13,"Other Services Except Public Administration",2020,"2020",20359,440,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2020,"2020",44858,2070,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",26198,1066,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2019,"2019",29229,925,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2019,"2019",35539,844,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2019,"2019",39613,1359,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2019,"2019",27335,549,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2019,"2019",35197,1094,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",7,"Information",2019,"2019",71395,1665,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",64571,1378,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",48104,1590,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",45270,1119,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",26674,338,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",13,"Other Services Except Public Administration",2019,"2019",27389,755,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",14,"Public Administration",2019,"2019",67420,3656,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",19900,1367,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2019,"2019",42788,2049,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2019,"2019",26541,514,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2019,"2019",34671,3266,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2019,"2019",21773,348,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2019,"2019",30957,1147,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2019,"2019",63261,1239,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",47448,1597,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",40630,908,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",35057,621,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",21297,338,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",13,"Other Services Except Public Administration",2019,"2019",19659,681,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2019,"2019",42262,2247,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",25346,992,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2018,"2018",26809,374,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2018,"2018",32540,888,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2018,"2018",37588,1778,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2018,"2018",26399,380,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2018,"2018",34020,1519,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",7,"Information",2018,"2018",69454,1838,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",62657,2096,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",44208,1533,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",42738,1199,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",25679,403,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",13,"Other Services Except Public Administration",2018,"2018",26558,461,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",14,"Public Administration",2018,"2018",67637,4613,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",18760,1189,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2018,"2018",41238,2111,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2018,"2018",25268,583,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2018,"2018",32140,1232,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2018,"2018",20994,419,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2018,"2018",31547,965,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2018,"2018",61391,1853,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",45271,1203,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",39130,1296,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",33056,861,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",20281,309,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",13,"Other Services Except Public Administration",2018,"2018",17826,590,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2018,"2018",43886,2539,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2017,"2017",23977,1521,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2017,"2017",25191,420,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2017,"2017",31290,496,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2017,"2017",35669,1208,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2017,"2017",25282,466,"Los Angeles, CA","16000US0644000","los-angeles-ca"
